iter	RMSE
686	23543.77241
687	23530.0788
688	23514.95616
689	23498.58527
690	23480.83436
691	23466.5511
692	23449.0648
693	23429.59684
694	23415.20422
695	23393.49482
696	23373.35434
697	23355.32238
698	23342.76046
699	23327.30802
700	23310.21239
701	23295.99316
702	23280.76373
703	23258.82096
704	23238.55664
705	23220.36756
706	23203.29754
707	23185.21664
708	23172.86067
709	23154.54755
710	23135.98604
711	23124.26019
712	23113.92343
713	23093.22781
714	23075.93955
715	23058.02548
716	23043.19712
717	23029.54042
718	23013.59181
719	23000.55188
720	22989.3934
721	22972.65928
722	22955.6921
723	22938.77374
724	22924.36351
725	22908.07933
726	22890.779
727	22878.88744
728	22860.66663
729	22846.75789
730	22830.7095
731	22813.92649
732	22797.09155
733	22782.63312
734	22768.63844
735	22750.68227
736	22731.60234
737	22717.77516
738	22702.93523
739	22684.37551
740	22673.25409
741	22653.79693
742	22640.74487
743	22624.91008
744	22610.73847
745	22597.20281
746	22579.40573
747	22568.55062
748	22557.64011
749	22542.36221
750	22525.02437
751	22511.13849
752	22502.70083
753	22484.24826
754	22472.9939
755	22458.51593
756	22446.54533
757	22434.58408
758	22422.40791
759	22408.95009
760	22393.2902
761	22375.68886
762	22364.85395
763	22353.96328
764	22340.88324
765	22330.02292
766	22308.07386
767	22295.69548
768	22279.12555
769	22266.5358
770	22254.71144
771	22245.58273
772	22233.97943
773	22220.66017
774	22205.61753
775	22194.72784
776	22178.52086
777	22168.88726
778	22153.162
779	22137.7539
780	22123.51478
781	22110.22844
782	22098.0752
783	22088.85538
784	22078.42316
785	22068.3641
786	22050.88119
787	22038.70382
788	22028.40752
789	22013.47476
790	22000.96521
791	21991.15516
792	21979.99533
793	21967.01974
794	21955.62228
795	21943.69473
796	21926.11138
797	21916.45291
798	21902.92271
799	21887.80104
800	21873.79238
801	21864.38139
802	21853.47246
803	21843.28468
804	21830.13404
805	21819.10636
806	21802.18303
807	21792.36231
808	21783.43037
809	21774.25534
810	21758.4821
811	21746.82696
812	21729.81003
813	21718.14846
814	21707.67872
815	21699.23024
816	21687.31007
817	21671.47142
818	21654.54906
819	21641.99439
820	21628.80807
821	21620.30769
822	21608.68675
823	21591.1073
824	21578.9011
825	21565.4475
826	21552.35209
827	21535.24005
828	21520.79901
829	21506.32211
830	21499.4143
831	21487.82138
832	21469.73811
833	21453.67629
834	21441.43099
835	21432.49097
836	21421.6335
837	21406.42797
838	21395.5291
839	21382.57546
840	21371.37811
841	21356.94762
842	21343.48422
843	21332.11144
844	21318.40126
845	21309.68235
846	21295.22119
847	21289.93586
848	21281.09687
849	21273.49271
850	21261.14703
851	21251.31551
852	21242.56046
853	21226.1478
854	21215.21823
855	21200.83489
856	21184.95285
857	21173.59502
858	21164.50944
859	21152.90968
860	21141.83562
861	21128.77094
862	21118.51264
863	21105.58245
864	21094.68248
865	21085.13441
866	21081.44926
867	21071.52441
868	21062.03866
869	21048.77311
870	21036.33792
871	21021.45761
872	21012.44519
873	21001.69553
874	20991.62401
875	20981.57713
876	20973.71088
877	20963.76726
878	20950.40032
879	20940.13515
880	20928.03099
881	20919.6849
882	20907.45577
883	20894.34984
884	20879.93505
885	20866.42349
886	20855.85696
887	20843.22193
888	20828.24885
889	20818.4494
890	20805.10597
891	20797.14709
892	20782.03821
893	20771.83694
894	20764.77819
895	20750.33579
896	20741.04973
897	20729.903
898	20714.2642
899	20703.49874
900	20689.98429
901	20676.59184
902	20665.54333
903	20656.28744
904	20644.06304
905	20636.00706
906	20629.38853
907	20615.64223
908	20605.12465
909	20595.36116
910	20587.7334
911	20580.14271
912	20572.97771
913	20564.25727
914	20549.3475
915	20537.09154
916	20529.48971
917	20518.24285
918	20509.45174
919	20499.59963
920	20490.18181
921	20482.3647
922	20472.10745
923	20466.07658
924	20456.07214
925	20443.71717
926	20435.35701
927	20425.21467
928	20414.74195
929	20405.37472
930	20397.30141
931	20388.20946
932	20378.2556
933	20367.37089
934	20356.42806
935	20346.58658
936	20338.02839
937	20328.4139
938	20319.36835
939	20307.00676
940	20296.80438
941	20287.71888
942	20275.41446
943	20266.22466
944	20259.95554
945	20250.09701
946	20242.66471
947	20235.23953
948	20221.68179
949	20216.10688
950	20208.8427
951	20198.45875
952	20192.4482
953	20183.40334
954	20173.13006
955	20164.11562
956	20153.13056
957	20141.36667
958	20126.80064
959	20115.11123
960	20106.72229
961	20102.79433
962	20092.40555
963	20080.04755
964	20068.98606
965	20061.49212
966	20050.08959
967	20040.29989
968	20031.45675
969	20022.51522
970	20012.1789
971	20004.74996
972	19992.54337
973	19978.80184
974	19972.61998
975	19964.11366
976	19956.55711
977	19946.70821
978	19934.10501
979	19926.23256
980	19918.4855
981	19910.38497
982	19899.86295
983	19890.03661
984	19880.86547
985	19868.53149
986	19861.10944
987	19853.89246
988	19842.39765
989	19829.34363
990	19818.3688
991	19813.37792
992	19804.41861
993	19796.99098
994	19786.85415
995	19780.82598
996	19772.75911
997	19763.81504
998	19754.3168
999	19747.15106
1000	19737.67766
1001	19728.69211
1002	19723.87098
1003	19713.58078
1004	19704.29064
1005	19696.53625
1006	19685.22931
1007	19680.20847
1008	19669.64885
1009	19661.59607
1010	19652.49912
1011	19646.73711
1012	19636.96215
1013	19631.79319
1014	19624.75499
1015	19616.10246
1016	19605.46695
1017	19598.99426
1018	19589.7003
1019	19583.5064
1020	19575.89327
1021	19566.55521
1022	19557.90496
1023	19548.85529
1024	19541.22249
1025	19531.37198
1026	19522.30449
1027	19514.02671
1028	19506.65514
1029	19498.4766
1030	19488.49271
1031	19478.25727
1032	19471.88826
1033	19465.31756
1034	19458.85369
1035	19450.00183
1036	19445.15659
1037	19440.00441
1038	19427.77024
1039	19421.76721
1040	19416.88936
1041	19408.11722
1042	19399.80052
1043	19384.51466
1044	19375.70546
1045	19367.90384
1046	19358.10164
1047	19350.45526
1048	19341.76864
1049	19334.7107
1050	19328.37661
1051	19321.19872
1052	19314.48069
1053	19305.72236
1054	19298.44738
1055	19288.76445
1056	19282.64689
1057	19275.9889
1058	19270.66324
1059	19262.67853
1060	19256.12004
1061	19250.34981
1062	19243.53635
1063	19237.9052
1064	19230.33914
1065	19223.23992
1066	19218.9908
1067	19207.58516
1068	19197.65132
1069	19195.66634
1070	19186.59034
1071	19176.07915
1072	19173.01572
1073	19163.08091
1074	19157.44611
1075	19147.21932
1076	19140.07009
1077	19131.0737
1078	19122.06621
1079	19114.20517
1080	19106.39102
1081	19097.41679
1082	19090.5263
1083	19078.67139
1084	19069.64233
1085	19063.29449
1086	19058.8426
1087	19052.47901
1088	19044.92697
1089	19040.55185
1090	19035.75757
1091	19028.72525
1092	19020.98121
1093	19016.2336
1094	19009.98151
1095	19000.43506
1096	18997.54458
1097	18990.59459
1098	18983.13003
1099	18978.54893
1100	18970.60624
1101	18959.18098
1102	18952.4658
1103	18945.31
1104	18939.61101
1105	18933.60307
1106	18927.55818
1107	18921.3507
1108	18915.13947
1109	18908.60156
1110	18902.6467
1111	18897.95741
1112	18889.042
1113	18882.28527
1114	18873.54071
1115	18868.62813
1116	18861.97841
1117	18854.90614
1118	18847.29176
1119	18840.01447
1120	18834.80964
1121	18827.88662
1122	18819.08216
1123	18810.82269
1124	18803.97172
1125	18797.8894
1126	18791.74194
1127	18788.39718
1128	18779.76497
1129	18773.95198
1130	18766.31252
1131	18760.25052
1132	18754.04595
1133	18746.75701
1134	18739.92055
1135	18730.83419
1136	18726.10617
1137	18720.55995
1138	18714.83392
1139	18706.59862
1140	18699.31929
1141	18691.95328
1142	18685.42173
1143	18678.3707
1144	18665.81997
1145	18657.15395
1146	18649.63686
1147	18647.01184
1148	18642.62789
1149	18636.91452
1150	18626.43674
1151	18617.9574
1152	18610.31495
1153	18602.45969
1154	18600.9628
1155	18595.6968
1156	18591.34598
1157	18585.82099
1158	18579.91634
1159	18575.60414
1160	18566.40528
1161	18561.0162
1162	18550.94278
1163	18545.91683
1164	18544.05295
1165	18542.2115
1166	18534.67649
1167	18526.02543
1168	18519.37079
1169	18508.69013
1170	18503.20896
1171	18497.38799
1172	18491.18309
1173	18483.34099
1174	18476.70027
1175	18468.50929
1176	18465.03642
1177	18454.37231
1178	18446.64484
1179	18444.93638
1180	18438.0841
1181	18429.49969
1182	18420.82794
1183	18415.03614
1184	18410.60753
1185	18401.21499
1186	18393.66434
1187	18388.86775
